Granularidade Geográfica;Categoria;Filtro;Estado;UF;Localidade;Ano;Valor;Tipo Valor;Indicador
Mato Grosso do Sul;Crime;Homicídios;Mato Grosso do Sul;MS;Estado;2023;3,6;;10.5
Minas Gerais;Crime;Homicídios;Minas Gerais;MT;Estado;2023;3,1;;10.5
Pará;Crime;Homicídios;Pará;PA;Estado;2023;5;;10.5
Paraíba;Crime;Homicídios;Paraíba;PB;Estado;2023;3,6;;10.5
Paraná;Crime;Homicídios;Paraná;PE;Estado;2023;4,2;;10.5
Pernambuco;Crime;Homicídios;Pernambuco;PI;Estado;2023;5,7;;10.5
Piauí;Crime;Homicídios;Piauí;PR;Estado;2023;3,7;;10.5
Rio de Janeiro;Crime;Homicídios;Rio de Janeiro;RJ;Estado;2023;3,4;;10.5
Rio Grande do Norte;Crime;Homicídios;Rio Grande do Norte;RN;Estado;2023;3,2;;10.5
Rio Grande do Sul;Crime;Homicídios;Rio Grande do Sul;RO;Estado;2023;3,9;;10.5
Rondônia;Crime;Homicídios;Rondônia;RR;Estado;2023;6,1;;10.5
Roraima;Crime;Homicídios;Roraima;RS;Estado;2023;5,4;;10.5
Santa Catarina;Crime;Homicídios;Santa Catarina;SC;Estado;2023;2,8;;10.5
São Paulo;Crime;Homicídios;São Paulo;SE;Estado;2023;1,9;;10.5
Sergipe;Crime;Homicídios;Sergipe;SP;Estado;2023;3,4;;10.5
Tocantins;Crime;Homicídios;Tocantins;TO;Estado;2023;4,8;;10.5
Brasil;Crime;Homicídios;;;País;2023;3,8;;10.5
Acre;Crime;Homicídios;Acre;AC;Estado;2019;7;;10.5
Alagoas;Crime;Homicídios;Alagoas;AL;Estado;2019;5,1;;10.5
Amapá;Crime;Homicídios;Amapá;AM;Estado;2019;9;;10.5
Amazonas;Crime;Homicídios;Amazonas;AP;Estado;2019;3,9;;10.5
Bahia;Crime;Homicídios;Bahia;BA;Estado;2019;5,2;;10.5
Ceará;Crime;Homicídios;Ceará;CE;Estado;2019;4,8;;10.5
Distrito Federal;Crime;Homicídios;Distrito Federal;DF;Estado;2019;3,8;;10.5
Espírito Santo;Crime;Homicídios;Espírito Santo;ES;Estado;2019;6,2;;10.5
Goiás;Crime;Homicídios;Goiás;GO;Estado;2019;4,2;;10.5
Maranhão;Crime;Homicídios;Maranhão;MA;Estado;2019;2,8;;10.5
Mato Grosso;Crime;Homicídios;Mato Grosso;MG;Estado;2019;5,1;;10.5
