Granularidade Geográfica;Categoria;Filtro;Estado;UF;Localidade;Ano;Valor;Tipo Valor;Indicador
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2022;716,1;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2022;553,3;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2022;229,4;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2022;1.039,00;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2022;270,1;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2022;774,3;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2022;449,3;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2022;489,9;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2022;1.107,80;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2022;549,8;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2022;1.261,70;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2022;1.682,30;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2022;326,9;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2022;760;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2022;838,1;;10.4
Brasil;Localidade;Total;;;País;2022;639,3;;10.4
Acre;Localidade;Total;Acre;AC;Estado;2023;582,9;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2023;492,3;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2023;1.749,80;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2023;943,2;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2023;722,2;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2023;401,3;;10.4
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2023;1.399,60;;10.4
Espírito Santo;Localidade;Total;Espírito Santo;ES;Estado;2023;705,4;;10.4
Goiás;Localidade;Total;Goiás;GO;Estado;2023;847,1;;10.4
Maranhão;Localidade;Total;Maranhão;MA;Estado;2023;605,4;;10.4
Mato Grosso;Localidade;Total;Mato Grosso;MG;Estado;2023;1.114,30;;10.4
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;Estado;2023;1.252,70;;10.4
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2023;788,7;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2023;665,3;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2023;370,8;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2023;1.196,90;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2023;302,3;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2023;891,9;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2023;511,2;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2023;589;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2023;1.230,30;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2023;514,5;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2023;1.504,80;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2023;1.765,50;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2023;495,7;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2023;913;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2023;999,3;;10.4
Brasil;Localidade;Total;;;País;2023;745;;10.4
Acre;Localidade;Total;Acre;AC;Estado;2019;345,3;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2019;291,6;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2019;1606,9;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2019;705,4;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2019;540,1;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2019;407,8;;10.4
